"DATA PROCESSAMENTO RIPPER","DATA DE REFERENCIA PROCESSADA","ID DO BRT","BRT","ID DA VIAGEM BILHETAGEM","ID DA PERNA BILHETAGEM","ID DO USUÁRIO","SEQUÊNCIA DE UTILIZAÇÃO","SEQUÊNCIA DE DÉBITO","TERMINAIS RELACIONADOS","TARIFA LINHA","PASSAGEIRO EQUIVALENTE","LINHA ID","LINHA CODIFICAÇÃO","EMPRESA EXCLUSIVIDADE","EMPRESA OPERADORA","TOTAL PASSAGEIROS PAGANTES DINHEIRO","DEMANDA TOTAL","RECEITA","CLASSIFICACAO DE VIAGEM","TIPO DE REGRA"
"08/03/2021","04/12/2020","2","BRT NEVES","283927123","","","","","","4,25","","4741","125","104","104","3","45","12,75","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927125","","","","","","4,25","","4741","125","104","104","0","0","0","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927128","","","","","","4,25","","4741","125","104","104","2","35","8,5","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927130","","","","","","4,25","","4741","125","104","104","0","0","0","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927132","","","","","","4,25","","4741","125","104","104","12","37","51","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927134","","","","","","4,25","","4741","125","104","104","0","0","0","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927136","","","","","","4,25","","4741","125","104","104","13","37","55,25","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927138","","","","","","4,25","","4741","125","104","104","5","9","21,25","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927140","","","","","","4,25","","4741","125","104","104","10","50","42,5","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927142","","","","","","4,25","","4741","125","104","104","0","0","0","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927144","","","","","","4,25","","4741","125","104","104","4","31","17","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927146","","","","","","4,25","","4741","125","104","104","8","19","34","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927148","","","","","","4,25","","4741","125","104","104","2","57","8,5","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927150","","","","","","4,25","","4741","125","104","104","7","26","29,75","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927152","","","","","","4,25","","4741","125","104","104","5","15","21,25","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927154","","","","","","4,25","","4741","125","104","104","2","8","8,5","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927156","","","","","","4,25","","4741","125","104","104","1","10","4,25","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
"08/03/2021","04/12/2020","2","BRT NEVES","283927158","","","","","","4,25","","4741","125","104","104","4","8","17","AUTOMATICA:ADIANTAMENTO DE RECEITA E DEMANDA TOTAL","ADIANTAMENTO DE RECEITA E DEMANDA TOTAL"
